analysisList	analysisList	analysisList	dataset	dataset	action	action	action	action	action
GeneralOneTcTrackStat	Counts of case vs control	The number of  of case/control-track1-points [rawStatistic:=CountPointStat:] 	1	0	0	0	0	0	0
MeanValAtPointsStat	Mean at points	The mean value of track1 at positions of track2 	1	1	1	0	0	0	0
PointCountPerMicroBinV4Stat	Counts in microBins	The number of track1-points in micro-bins (allowing overlapping points) [microBin=1000/2000/10000/100000/1000000] 	1	0	0	0	0	0	0
MeanMarkStat	Mean of values	The mean value of values of track1 [logScale:Use log2-scaled values=False:No/True:Yes]	1	0	1	0	0	0	0
CountSegmentStat	Bp coverage	The number of base pairs covered by track1 	1	0	0	0	0	0	0
AvgRelPosInBinStat	Relative avg position	The relative average position of track1-points inside the bins 	1	0	0	0	0	0	1
SumStat	Sum	The sum of values of track1 	1	0	0	0	0	0	0
CountPointStat	Counts	The number of track1-points 	1	0	0	0	0	0	0
LogSumSegDistStat	None	None	0	0	0	0	0	0	0
RipleysKChrStat	RipleysKChr	Ripleys K clustering statistic separately for each chromosome [bpWindow=100/10000/1000000] 	0	0	0	0	0	0	0
AvgSegDistStat	Avg segment distance	The average distance between segments of track1 [withOverlaps:_Overlap handling=no:Cluster overlaps] 	1	0	0	0	0	0	1
TpRawOverlapStat	None	None	0	0	0	0	0	0	0
FreqByCatStat	Category point count	The number of elements of each category of track1 (with overlaps) 	1	0	0	0	0	0	0
PropPointCountsVsSegsStat	Count inside/outside	The number and proportion of track1-points inside and outside track2-segments 	1	1	0	0	0	0	0
CorrCoefStat	CC	Pearson's correlation coefficient of track1 and track2 	1	1	0	0	0	0	0
