##Formulas are in linux filename wild-card
##Note switching from wild-card to regex formulas is by replacing '.*' by '*'
#Category	Sub-category	Source	Subtool
Transcription factor binding sites (search by cell/tissue type)	BC_Uterus_BN0765	ENCODE	Encode:Cell=BC_Uterus_BN0765
Transcription factor binding sites (search by cell/tissue type)	BE2_C	ENCODE	Encode:Cell=BE2_C
Transcription factor binding sites (search by cell/tissue type)	BG02ES	ENCODE	Encode:Cell=BG02ES
Transcription factor binding sites (search by cell/tissue type)	BJ	ENCODE	Encode:Cell=BJ
Transcription factor binding sites (search by cell/tissue type)	CD20+	ENCODE	Encode:Cell=CD20+
Transcription factor binding sites (search by cell/tissue type)	CD20+_RO01778	ENCODE	Encode:Cell=CD20+_RO01778
Transcription factor binding sites (search by cell/tissue type)	CD20+_RO01794	ENCODE	Encode:Cell=CD20+_RO01794
Transcription factor binding sites (search by cell/tissue type)	CD34+_Mobilized	ENCODE	Encode:Cell=CD34+_Mobilized
Transcription factor binding sites (search by cell/tissue type)	CD4+_Naive_Wb11970640	ENCODE	Encode:Cell=CD4+_Naive_Wb11970640
Transcription factor binding sites (search by cell/tissue type)	CD4+_Naive_Wb78495824	ENCODE	Encode:Cell=CD4+_Naive_Wb78495824
Transcription factor binding sites (search by cell/tissue type)	CLL	ENCODE	Encode:Cell=CLL
Transcription factor binding sites (search by cell/tissue type)	CMK	ENCODE	Encode:Cell=CMK
Transcription factor binding sites (search by cell/tissue type)	Caco-2	ENCODE	Encode:Cell=Caco-2
Transcription factor binding sites (search by cell/tissue type)	Cerebellum_OC	ENCODE	Encode:Cell=Cerebellum_OC
Transcription factor binding sites (search by cell/tissue type)	Cerebrum_frontal_OC	ENCODE	Encode:Cell=Cerebrum_frontal_OC
Transcription factor binding sites (search by cell/tissue type)	Chorion	ENCODE	Encode:Cell=Chorion
Transcription factor binding sites (search by cell/tissue type)	Colo829	ENCODE	Encode:Cell=Colo829
Transcription factor binding sites (search by cell/tissue type)	Colon_OC	ENCODE	Encode:Cell=Colon_OC
Transcription factor binding sites (search by cell/tissue type)	Dnd41	ENCODE	Encode:Cell=Dnd41
Transcription factor binding sites (search by cell/tissue type)	ECC-1	ENCODE	Encode:Cell=ECC-1
Transcription factor binding sites (search by cell/tissue type)	Endometrium_OC	ENCODE	Encode:Cell=Endometrium_OC
Transcription factor binding sites (search by cell/tissue type)	FibroP	ENCODE	Encode:Cell=FibroP
Transcription factor binding sites (search by cell/tissue type)	FibroP_AG08395	ENCODE	Encode:Cell=FibroP_AG08395
Transcription factor binding sites (search by cell/tissue type)	FibroP_AG08396	ENCODE	Encode:Cell=FibroP_AG08396
Transcription factor binding sites (search by cell/tissue type)	FibroP_AG20443	ENCODE	Encode:Cell=FibroP_AG20443
Transcription factor binding sites (search by cell/tissue type)	Fibrobl	ENCODE	Encode:Cell=Fibrobl
Transcription factor binding sites (search by cell/tissue type)	Fibrobl_GM03348	ENCODE	Encode:Cell=Fibrobl_GM03348
Transcription factor binding sites (search by cell/tissue type)	Frontal_cortex_OC	ENCODE	Encode:Cell=Frontal_cortex_OC
Transcription factor binding sites (search by cell/tissue type)	GC_B_cell	ENCODE	Encode:Cell=GC_B_cell
Transcription factor binding sites (search by cell/tissue type)	GM04503	ENCODE	Encode:Cell=GM04503
Transcription factor binding sites (search by cell/tissue type)	GM04504	ENCODE	Encode:Cell=GM04504
Transcription factor binding sites (search by cell/tissue type)	GM06990	ENCODE	Encode:Cell=GM06990
Transcription factor binding sites (search by cell/tissue type)	GM08714	ENCODE	Encode:Cell=GM08714
Transcription factor binding sites (search by cell/tissue type)	GM10248	ENCODE	Encode:Cell=GM10248
Transcription factor binding sites (search by cell/tissue type)	GM10266	ENCODE	Encode:Cell=GM10266
Transcription factor binding sites (search by cell/tissue type)	GM10847	ENCODE	Encode:Cell=GM10847
Transcription factor binding sites (search by cell/tissue type)	GM12801	ENCODE	Encode:Cell=GM12801
Transcription factor binding sites (search by cell/tissue type)	GM12812	ENCODE	Encode:Cell=GM12812
Transcription factor binding sites (search by cell/tissue type)	GM12813	ENCODE	Encode:Cell=GM12813
Transcription factor binding sites (search by cell/tissue type)	GM12864	ENCODE	Encode:Cell=GM12864
Transcription factor binding sites (search by cell/tissue type)	GM12865	ENCODE	Encode:Cell=GM12865
Transcription factor binding sites (search by cell/tissue type)	GM12866	ENCODE	Encode:Cell=GM12866
Transcription factor binding sites (search by cell/tissue type)	GM12867	ENCODE	Encode:Cell=GM12867
Transcription factor binding sites (search by cell/tissue type)	GM12868	ENCODE	Encode:Cell=GM12868
Transcription factor binding sites (search by cell/tissue type)	GM12869	ENCODE	Encode:Cell=GM12869
Transcription factor binding sites (search by cell/tissue type)	GM12870	ENCODE	Encode:Cell=GM12870
Transcription factor binding sites (search by cell/tissue type)	GM12871	ENCODE	Encode:Cell=GM12871
Transcription factor binding sites (search by cell/tissue type)	GM12872	ENCODE	Encode:Cell=GM12872
Transcription factor binding sites (search by cell/tissue type)	GM12873	ENCODE	Encode:Cell=GM12873
Transcription factor binding sites (search by cell/tissue type)	GM12874	ENCODE	Encode:Cell=GM12874
Transcription factor binding sites (search by cell/tissue type)	GM12875	ENCODE	Encode:Cell=GM12875
Transcription factor binding sites (search by cell/tissue type)	GM12878	ENCODE	Encode:Cell=GM12878
Transcription factor binding sites (search by cell/tissue type)	GM12878-XiMat	ENCODE	Encode:Cell=GM12878-XiMat
Transcription factor binding sites (search by cell/tissue type)	GM12891	ENCODE	Encode:Cell=GM12891
Transcription factor binding sites (search by cell/tissue type)	GM12892	ENCODE	Encode:Cell=GM12892
Transcription factor binding sites (search by cell/tissue type)	GM13976	ENCODE	Encode:Cell=GM13976
Transcription factor binding sites (search by cell/tissue type)	GM13977	ENCODE	Encode:Cell=GM13977
Transcription factor binding sites (search by cell/tissue type)	GM15510	ENCODE	Encode:Cell=GM15510
Transcription factor binding sites (search by cell/tissue type)	GM18505	ENCODE	Encode:Cell=GM18505
Transcription factor binding sites (search by cell/tissue type)	GM18507	ENCODE	Encode:Cell=GM18507
Transcription factor binding sites (search by cell/tissue type)	GM18526	ENCODE	Encode:Cell=GM18526
Transcription factor binding sites (search by cell/tissue type)	GM18951	ENCODE	Encode:Cell=GM18951
Transcription factor binding sites (search by cell/tissue type)	GM19099	ENCODE	Encode:Cell=GM19099
Transcription factor binding sites (search by cell/tissue type)	GM19193	ENCODE	Encode:Cell=GM19193
Transcription factor binding sites (search by cell/tissue type)	GM19238	ENCODE	Encode:Cell=GM19238
Transcription factor binding sites (search by cell/tissue type)	GM19239	ENCODE	Encode:Cell=GM19239
Transcription factor binding sites (search by cell/tissue type)	GM19240	ENCODE	Encode:Cell=GM19240
Transcription factor binding sites (search by cell/tissue type)	GM20000	ENCODE	Encode:Cell=GM20000
Transcription factor binding sites (search by cell/tissue type)	Gliobla	ENCODE	Encode:Cell=Gliobla
Transcription factor binding sites (search by cell/tissue type)	H1	ENCODE	Encode:Cell=H1
Transcription factor binding sites (search by cell/tissue type)	H1-hESC	ENCODE	Encode:Cell=H1-hESC
Transcription factor binding sites (search by cell/tissue type)	H1-neurons	ENCODE	Encode:Cell=H1-neurons
Transcription factor binding sites (search by cell/tissue type)	H7-hESC	ENCODE	Encode:Cell=H7-hESC
Transcription factor binding sites (search by cell/tissue type)	H9ES	ENCODE	Encode:Cell=H9ES
Transcription factor binding sites (search by cell/tissue type)	HA-h	ENCODE	Encode:Cell=HA-h
Transcription factor binding sites (search by cell/tissue type)	HA-sp	ENCODE	Encode:Cell=HA-sp
Transcription factor binding sites (search by cell/tissue type)	HAEpiC	ENCODE	Encode:Cell=HAEpiC
Transcription factor binding sites (search by cell/tissue type)	HAc	ENCODE	Encode:Cell=HAc
Transcription factor binding sites (search by cell/tissue type)	HAoAF	ENCODE	Encode:Cell=HAoAF
Transcription factor binding sites (search by cell/tissue type)	HAoEC	ENCODE	Encode:Cell=HAoEC
Transcription factor binding sites (search by cell/tissue type)	HBMEC	ENCODE	Encode:Cell=HBMEC
Transcription factor binding sites (search by cell/tissue type)	HBVP	ENCODE	Encode:Cell=HBVP
Transcription factor binding sites (search by cell/tissue type)	HBVSMC	ENCODE	Encode:Cell=HBVSMC
Transcription factor binding sites (search by cell/tissue type)	HCF	ENCODE	Encode:Cell=HCF
Transcription factor binding sites (search by cell/tissue type)	HCFaa	ENCODE	Encode:Cell=HCFaa
Transcription factor binding sites (search by cell/tissue type)	HCH	ENCODE	Encode:Cell=HCH
Transcription factor binding sites (search by cell/tissue type)	HCM	ENCODE	Encode:Cell=HCM
Transcription factor binding sites (search by cell/tissue type)	HCPEpiC	ENCODE	Encode:Cell=HCPEpiC
Transcription factor binding sites (search by cell/tissue type)	HCT-116	ENCODE	Encode:Cell=HCT-116
Transcription factor binding sites (search by cell/tissue type)	HConF	ENCODE	Encode:Cell=HConF
Transcription factor binding sites (search by cell/tissue type)	HEEpiC	ENCODE	Encode:Cell=HEEpiC
Transcription factor binding sites (search by cell/tissue type)	HEK293	ENCODE	Encode:Cell=HEK293
Transcription factor binding sites (search by cell/tissue type)	HEK293(b)	ENCODE	Encode:Cell=HEK293(b)
Transcription factor binding sites (search by cell/tissue type)	HEK293-T-REx	ENCODE	Encode:Cell=HEK293-T-REx
Transcription factor binding sites (search by cell/tissue type)	HEK293T	ENCODE	Encode:Cell=HEK293T
Transcription factor binding sites (search by cell/tissue type)	HFDPC	ENCODE	Encode:Cell=HFDPC
Transcription factor binding sites (search by cell/tissue type)	HFF	ENCODE	Encode:Cell=HFF
Transcription factor binding sites (search by cell/tissue type)	HFF-Myc	ENCODE	Encode:Cell=HFF-Myc
Transcription factor binding sites (search by cell/tissue type)	HGF	ENCODE	Encode:Cell=HGF
Transcription factor binding sites (search by cell/tissue type)	HIPEpiC	ENCODE	Encode:Cell=HIPEpiC
Transcription factor binding sites (search by cell/tissue type)	HL-60	ENCODE	Encode:Cell=HL-60
Transcription factor binding sites (search by cell/tissue type)	HMEC	ENCODE	Encode:Cell=HMEC
Transcription factor binding sites (search by cell/tissue type)	HMEpC	ENCODE	Encode:Cell=HMEpC
Transcription factor binding sites (search by cell/tissue type)	HMF	ENCODE	Encode:Cell=HMF
Transcription factor binding sites (search by cell/tissue type)	HMVEC-LBl	ENCODE	Encode:Cell=HMVEC-LBl
Transcription factor binding sites (search by cell/tissue type)	HMVEC-LLy	ENCODE	Encode:Cell=HMVEC-LLy
Transcription factor binding sites (search by cell/tissue type)	HMVEC-dAd	ENCODE	Encode:Cell=HMVEC-dAd
Transcription factor binding sites (search by cell/tissue type)	HMVEC-dBl-Ad	ENCODE	Encode:Cell=HMVEC-dBl-Ad
Transcription factor binding sites (search by cell/tissue type)	HMVEC-dBl-Neo	ENCODE	Encode:Cell=HMVEC-dBl-Neo
Transcription factor binding sites (search by cell/tissue type)	HMVEC-dLy-Ad	ENCODE	Encode:Cell=HMVEC-dLy-Ad
Transcription factor binding sites (search by cell/tissue type)	HMVEC-dLy-Neo	ENCODE	Encode:Cell=HMVEC-dLy-Neo
Transcription factor binding sites (search by cell/tissue type)	HMVEC-dNeo	ENCODE	Encode:Cell=HMVEC-dNeo
Transcription factor binding sites (search by cell/tissue type)	HNPCEpiC	ENCODE	Encode:Cell=HNPCEpiC
Transcription factor binding sites (search by cell/tissue type)	HOB	ENCODE	Encode:Cell=HOB
Transcription factor binding sites (search by cell/tissue type)	HPAEC	ENCODE	Encode:Cell=HPAEC
Transcription factor binding sites (search by cell/tissue type)	HPAEpiC	ENCODE	Encode:Cell=HPAEpiC
Transcription factor binding sites (search by cell/tissue type)	HPAF	ENCODE	Encode:Cell=HPAF
Transcription factor binding sites (search by cell/tissue type)	HPC-PL	ENCODE	Encode:Cell=HPC-PL
Transcription factor binding sites (search by cell/tissue type)	HPDE6-E6E7	ENCODE	Encode:Cell=HPDE6-E6E7
Transcription factor binding sites (search by cell/tissue type)	HPF	ENCODE	Encode:Cell=HPF
Transcription factor binding sites (search by cell/tissue type)	HPIEpC	ENCODE	Encode:Cell=HPIEpC
Transcription factor binding sites (search by cell/tissue type)	HPdLF	ENCODE	Encode:Cell=HPdLF
Transcription factor binding sites (search by cell/tissue type)	HRCEpiC	ENCODE	Encode:Cell=HRCEpiC
Transcription factor binding sites (search by cell/tissue type)	HRE	ENCODE	Encode:Cell=HRE
Transcription factor binding sites (search by cell/tissue type)	HRGEC	ENCODE	Encode:Cell=HRGEC
Transcription factor binding sites (search by cell/tissue type)	HRPEpiC	ENCODE	Encode:Cell=HRPEpiC
Transcription factor binding sites (search by cell/tissue type)	HSMM	ENCODE	Encode:Cell=HSMM
Transcription factor binding sites (search by cell/tissue type)	HSMM_FSHD	ENCODE	Encode:Cell=HSMM_FSHD
Transcription factor binding sites (search by cell/tissue type)	HSMM_emb	ENCODE	Encode:Cell=HSMM_emb
Transcription factor binding sites (search by cell/tissue type)	HSMMtube	ENCODE	Encode:Cell=HSMMtube
Transcription factor binding sites (search by cell/tissue type)	HSMMtube_FSHD	ENCODE	Encode:Cell=HSMMtube_FSHD
Transcription factor binding sites (search by cell/tissue type)	HSaVEC	ENCODE	Encode:Cell=HSaVEC
Transcription factor binding sites (search by cell/tissue type)	HT-1080	ENCODE	Encode:Cell=HT-1080
Transcription factor binding sites (search by cell/tissue type)	HTB-11	ENCODE	Encode:Cell=HTB-11
Transcription factor binding sites (search by cell/tissue type)	HTR8svn	ENCODE	Encode:Cell=HTR8svn
Transcription factor binding sites (search by cell/tissue type)	HUVEC	ENCODE	Encode:Cell=HUVEC
Transcription factor binding sites (search by cell/tissue type)	HVMF	ENCODE	Encode:Cell=HVMF
Transcription factor binding sites (search by cell/tissue type)	HWP	ENCODE	Encode:Cell=HWP
Transcription factor binding sites (search by cell/tissue type)	HeLa-S3	ENCODE	Encode:Cell=HeLa-S3
Transcription factor binding sites (search by cell/tissue type)	Heart_OC	ENCODE	Encode:Cell=Heart_OC
Transcription factor binding sites (search by cell/tissue type)	HepG2	ENCODE	Encode:Cell=HepG2
Transcription factor binding sites (search by cell/tissue type)	HepG2b	ENCODE	Encode:Cell=HepG2b
Transcription factor binding sites (search by cell/tissue type)	Hepatocytes	ENCODE	Encode:Cell=Hepatocytes
Transcription factor binding sites (search by cell/tissue type)	Huh-7	ENCODE	Encode:Cell=Huh-7
Transcription factor binding sites (search by cell/tissue type)	Huh-7.5	ENCODE	Encode:Cell=Huh-7.5
Transcription factor binding sites (search by cell/tissue type)	IMR90	ENCODE	Encode:Cell=IMR90
Transcription factor binding sites (search by cell/tissue type)	Ishikawa	ENCODE	Encode:Cell=Ishikawa
Transcription factor binding sites (search by cell/tissue type)	Jurkat	ENCODE	Encode:Cell=Jurkat
Transcription factor binding sites (search by cell/tissue type)	K562	ENCODE	Encode:Cell=K562
##Transcription factor binding sites (search by cell/tissue type)	K562b	ENCODE	Encode:Cell=K562b
Transcription factor binding sites (search by cell/tissue type)	Kidney_OC	ENCODE	Encode:Cell=Kidney_OC
Transcription factor binding sites (search by cell/tissue type)	LHCN-M2	ENCODE	Encode:Cell=LHCN-M2
Transcription factor binding sites (search by cell/tissue type)	LNCaP	ENCODE	Encode:Cell=LNCaP
Transcription factor binding sites (search by cell/tissue type)	Lung_OC	ENCODE	Encode:Cell=Lung_OC
Transcription factor binding sites (search by cell/tissue type)	M059J	ENCODE	Encode:Cell=M059J
Transcription factor binding sites (search by cell/tissue type)	MCF-7	ENCODE	Encode:Cell=MCF-7
Transcription factor binding sites (search by cell/tissue type)	MCF10A-Er-Src	ENCODE	Encode:Cell=MCF10A-Er-Src
Transcription factor binding sites (search by cell/tissue type)	MRT_A204	ENCODE	Encode:Cell=MRT_A204
Transcription factor binding sites (search by cell/tissue type)	MRT_G401	ENCODE	Encode:Cell=MRT_G401
Transcription factor binding sites (search by cell/tissue type)	MRT_TTC549	ENCODE	Encode:Cell=MRT_TTC549
Transcription factor binding sites (search by cell/tissue type)	Medullo	ENCODE	Encode:Cell=Medullo
Transcription factor binding sites (search by cell/tissue type)	Medullo_D341	ENCODE	Encode:Cell=Medullo_D341
Transcription factor binding sites (search by cell/tissue type)	Mel_2183	ENCODE	Encode:Cell=Mel_2183
Transcription factor binding sites (search by cell/tissue type)	Melano	ENCODE	Encode:Cell=Melano
Transcription factor binding sites (search by cell/tissue type)	Monocytes-CD14+	ENCODE	Encode:Cell=Monocytes-CD14+
Transcription factor binding sites (search by cell/tissue type)	Monocytes-CD14+_RO01746	ENCODE	Encode:Cell=Monocytes-CD14+_RO01746
Transcription factor binding sites (search by cell/tissue type)	Myometr	ENCODE	Encode:Cell=Myometr
Transcription factor binding sites (search by cell/tissue type)	NB4	ENCODE	Encode:Cell=NB4
Transcription factor binding sites (search by cell/tissue type)	NH-A	ENCODE	Encode:Cell=NH-A
Transcription factor binding sites (search by cell/tissue type)	NHBE	ENCODE	Encode:Cell=NHBE
Transcription factor binding sites (search by cell/tissue type)	NHBE_RA	ENCODE	Encode:Cell=NHBE_RA
Transcription factor binding sites (search by cell/tissue type)	NHDF	ENCODE	Encode:Cell=NHDF
Transcription factor binding sites (search by cell/tissue type)	NHDF-Ad	ENCODE	Encode:Cell=NHDF-Ad
Transcription factor binding sites (search by cell/tissue type)	NHDF-neo	ENCODE	Encode:Cell=NHDF-neo
Transcription factor binding sites (search by cell/tissue type)	NHEK	ENCODE	Encode:Cell=NHEK
Transcription factor binding sites (search by cell/tissue type)	NHEM.f_M2	ENCODE	Encode:Cell=NHEM.f_M2
Transcription factor binding sites (search by cell/tissue type)	NHEM_M2	ENCODE	Encode:Cell=NHEM_M2
Transcription factor binding sites (search by cell/tissue type)	NHLF	ENCODE	Encode:Cell=NHLF
Transcription factor binding sites (search by cell/tissue type)	NT2-D1	ENCODE	Encode:Cell=NT2-D1
Transcription factor binding sites (search by cell/tissue type)	Naive_B_cell	ENCODE	Encode:Cell=Naive_B_cell
Transcription factor binding sites (search by cell/tissue type)	None	ENCODE	Encode:Cell=None
Transcription factor binding sites (search by cell/tissue type)	Olf_neurosphere	ENCODE	Encode:Cell=Olf_neurosphere
Transcription factor binding sites (search by cell/tissue type)	Osteobl	ENCODE	Encode:Cell=Osteobl
Transcription factor binding sites (search by cell/tissue type)	PANC-1	ENCODE	Encode:Cell=PANC-1
Transcription factor binding sites (search by cell/tissue type)	PBDE	ENCODE	Encode:Cell=PBDE
Transcription factor binding sites (search by cell/tissue type)	PBDEFetal	ENCODE	Encode:Cell=PBDEFetal
Transcription factor binding sites (search by cell/tissue type)	PBMC	ENCODE	Encode:Cell=PBMC
Transcription factor binding sites (search by cell/tissue type)	PFSK-1	ENCODE	Encode:Cell=PFSK-1
Transcription factor binding sites (search by cell/tissue type)	PanIsletD	ENCODE	Encode:Cell=PanIsletD
